"arc_length","pressure (4)"
0.527194,87515.9
0.529706,91060.1
0.532064,94420.7
0.534219,97182.3
0.536127,99394.1
0.53617,99447.7
0.537978,102095
0.539696,103609
0.541374,97993.3
0.543041,82211.8
0.54472,68269.4
0.546313,65261
0.54643,65272.3
0.548188,66959.2
0.550014,68274.3
0.551923,69343.3
0.553927,70317.1
0.556038,71212.1
0.557463,71758.6
0.558255,72059.3
0.560569,72973.8
0.562981,74043.2
0.565483,75332.2
0.568063,76929.5
0.569457,77992.2
0.570688,78901.6
0.573339,81303.9
0.575992,84191.1
0.578601,87515.9
0.581114,91060.1
0.583472,94420.7
0.585627,97182.3
0.587535,99394.1
0.587578,99447.7
0.589385,102095
0.591104,103609
0.592782,97993.3
0.594449,82211.8
0.596128,68269.4
0.597721,65261
0.597838,65272.3
0.599596,66959.2
0.601421,68274.3
0.60333,69343.3
0.605335,70317.1
0.607446,71212.1
0.608871,71758.6
0.609662,72059.3
0.611976,72973.8
0.614389,74043.2
0.61689,75332.2
0.61947,76929.5
0.620864,77992.2
0.622096,78901.6
0.624747,81303.9
0.627399,84191.1
0.630009,87515.9
0.632521,91060.1
0.63488,94420.7
0.637034,97182.3
0.638942,99394.1
0.638986,99447.7
0.640793,102095
0.642511,103609
0.644189,97993.4
0.645856,82211.9
0.647535,68269.4
0.649128,65261
0.649245,65272.3
0.651004,66959.2
0.652829,68274.3
0.654738,69343.3
0.656742,70317.1
0.658853,71212.1
0.660278,71758.6
0.66107,72059.3
0.663384,72973.8
0.665796,74043.2
0.668298,75332.2
0.670878,76929.5
0.672272,77992.2
0.673503,78901.6
0.676154,81303.9
0.678807,84191.1
0.681416,87515.9
0.683929,91060.1
0.686287,94420.7
0.688442,97182.3
0.69035,99394.1
0.690393,99447.7
0.6922,102095
0.693919,103609
0.695597,97993.4
0.697264,82211.8
0.698943,68269.4
0.700536,65261
0.700653,65272.3
0.702411,66959.2
0.704236,68274.3
0.706145,69343.3
0.70815,70317.1
0.710261,71212.1
0.711686,71758.6
0.712477,72059.3
0.714791,72973.8
0.717204,74043.2
0.719705,75332.2
0.722285,76929.5
0.723679,77992.2
0.724911,78901.6
0.727562,81303.9
0.730214,84191.1
0.732824,87515.9
0.735336,91060.1
0.737695,94420.7
0.739849,97182.3
0.741757,99394.1
0.741801,99447.7
0.743608,102095
0.745326,103609
